Copernican ideology.,কোপারনিকান মূলনীতি
According to thw law of universe when the universe is seen in perspective of big scale distance then no specific direction or place can be observed.,বিশ্বতাত্ত্বিক নীতি অনুসারে মহাবিশ্বকে যখন যথেষ্ট বৃহৎ স্কেলের দূরত্বের সাপেক্ষে দেখা হয় তখন এর কোন নির্দিষ্ট বা বিশিষ্ট দিক ও স্থান পাওয়া যায় না।
LATER IN DIFFERENT PROGRAMME HE USED THE SAME NAME.,এর পরেও বিভিন্ন অনুষ্ঠানে তাকে এই নামটি ব্যবহার করতে দেখা যায়।
"Besides that, from astronomical point of view, it is investigated  what caused Big Bang and how it occurred.",এছাড়াও ঠিক কি কারণে এবং কিভাবে মহা বিস্ফোরণ সংঘটিত হয়েছিলো তা বিশ্বতাত্ত্বিক দৃষ্টিকোণ থেকে বিচার করা হয়।
"These three measures are: Estimation of expansion of the universe using ultra new stars of the first type, Estimation of variation in temperature in cosmic microwave background and Estimation of the correlation function of all the milky ways.",এই পরিমাপ তিনটি হচ্ছে: প্রথম ধরণের অতি নব তারা ব্যবহার করে মহাবিশ্বের সম্প্রসারণের পরিমাপ মহাজাগতিক ক্ষুদ্র তরঙ্গ পটভূমিতে তাপমাত্রার উঠানামার পরিমাপ এবং ছায়াপথসমূহের কোরিলেশন ফাংশন পরিমাপ।
Now the scientists probably have produced a substance like this that is known as quark-gluon liquid.,বর্তমানে সম্ভবত এই ধরণেরই একটি পদার্থ বিজ্ঞানী প্রস্তুত করেছেন যা কোয়ার্ক গ্লুওন তরল হিসেবে পরিচিত।
"The primary particles were formed during that time, which are still in the same primary stage.",এ সময়ই মৌলিক কণিকাসমূহ সৃষ্টি হয় যা এখনও সেই আদি অবস্থাতেই রয়েছে।
This phenomenon of the creation is called the Big Bang centric process,সৃষ্টির এই প্রক্রিয়াকে বলা হয় মহা বিস্ফোরণ কেন্দ্রীন সংশ্লেষ।
by this method various stars and other astronomical objects are formed,এর মাধ্যমে সৃষ্টি হয় তারা ছায়াপথ এবং অন্যান্য জ্যোতির্বৈজ্ঞানিক বস্তুর যা আজ আমরা দেখতে পাচ্ছি।
It is because of invisible energy.,অদৃশ্য শক্তির কারণেই এমনটি হয়ে থাকে।
There is no alternative to singularity theory for explaining the situation prior to this difference of state.,দশা পার্থক্যের এই সময়ের পূর্বের অবস্থা ব্যাখ্যা করার জন্য মহা একীভূত তত্ত্বের কোন বিকল্প নেই।
